INCIDENT_ID,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MULTIPLE_OFFENSE
102659.0,0,36,34,2,1,5,6,1,6,1,174,1.0,92,29,36,0
189752.0,1,37,37,0,0,11,17,1,6,1,236,1.0,103,142,34,1
184637.0,0,3,2,3,5,1,0,2,3,1,174,1.0,110,93,34,1
139071.0,0,33,32,2,1,7,1,1,6,1,249,1.0,72,29,34,1
109335.0,0,33,32,2,1,8,3,0,5,1,174,0.0,112,29,43,1
96263.0,0,45,45,10,3,1,0,1,6,1,303,1.0,72,62,34,1
131400.0,0,30,35,7,3,7,1,0,5,1,174,0.0,112,29,43,1
11981.0,0,8,7,7,3,9,8,0,5,1,316,1.0,72,62,34,1
184134.0,0,49,49,6,5,8,3,1,1,1,316,1.0,103,14,34,1
32634.0,1,4,4,6,5,15,10,0,5,2,145,1.0,103,29,34,0
83843.0,1,4,4,6,5,15,10,1,6,1,174,1.0,103,130,34,1
7439.0,0,33,32,2,1,5,6,0,5,1,174,0.0,72,93,48,1
192564.0,0,4,4,6,5,5,6,0,5,3,174,3.0,42,29,34,1
148567.0,1,4,4,6,5,15,10,0,5,1,174,0.0,18,133,46,1
106537.0,0,7,8,7,3,2,7,3,2,1,316,1.0,72,62,34,1
38406.0,0,36,34,2,1,4,2,1,6,1,249,1.0,92,29,34,1
131018.0,0,25,25,9,0,4,2,2,6,1,0,1.0,72,29,34,1
2678.0,0,36,34,2,1,1,0,1,2,1,0,1.0,92,142,34,1
140183.0,1,37,37,0,0,11,17,0,5,1,174,1.0,103,115,34,1
11185.0,0,3,2,3,5,1,0,1,6,1,249,1.0,2,29,34,1
6085.0,0,21,23,4,1,5,6,1,6,1,174,0.0,18,53,46,1
124930.0,0,36,34,2,1,1,0,0,5,2,174,0.0,92,93,43,1
64035.0,0,47,48,7,3,4,2,1,6,1,316,1.0,98,62,34,1
85661.0,5,22,22,7,3,13,18,1,6,1,316,1.0,92,29,34,1
31901.0,0,49,49,6,5,5,6,0,5,1,249,1.0,67,29,34,1
73049.0,0,4,4,6,5,3,5,0,5,1,174,1.0,72,80,34,1
148441.0,0,4,4,6,5,3,5,0,5,1,0,1.0,103,142,34,1
99283.0,0,15,14,3,5,4,2,0,5,1,174,0.0,116,133,0,1
152644.0,0,36,34,2,1,1,0,1,2,1,316,1.0,92,62,34,1
187216.0,0,21,23,4,1,4,2,0,5,1,174,0.0,111,103,43,1
165321.0,1,37,37,0,0,11,17,1,6,1,127,1.0,103,77,34,1
198473.0,0,49,49,6,5,2,7,3,5,2,249,2.0,72,107,34,1
92787.0,7,21,23,4,1,9,8,2,6,3,174,3.0,112,14,34,1
64799.0,0,4,4,6,5,7,1,0,5,1,316,1.0,72,62,34,1
193653.0,0,16,15,0,0,8,3,1,6,1,0,1.0,12,6,34,1
115118.0,5,22,22,7,3,16,12,1,6,2,0,2.0,34,29,34,1
109887.0,0,36,34,2,1,6,4,1,2,1,316,1.0,92,142,34,1
139996.0,1,37,37,0,0,11,17,1,1,1,299,1.0,103,130,34,1
173928.0,0,11,11,7,3,3,5,2,5,1,316,1.0,12,62,34,1
104980.0,0,4,4,6,5,5,6,2,6,1,174,1.0,103,29,34,1
70088.0,0,36,34,2,1,1,0,1,6,1,249,1.0,92,93,34,1
8305.0,0,36,34,2,1,4,2,0,2,1,299,1.0,92,142,34,1
65586.0,0,4,4,6,5,4,2,1,6,2,249,2.0,72,62,34,1
9159.0,1,36,34,2,1,15,10,0,2,1,316,1.0,92,130,34,1
